;wL;event
1975-05-19 08:40:00;18.654;0
1975-05-19 08:45:00;18.678;0
1975-05-19 08:50:00;18.721;0
1975-05-19 08:55:00;18.76;0
1975-05-19 09:00:00;18.779;0
1975-05-19 09:05:00;18.806;0
1975-05-19 09:10:00;18.821;0
1975-05-19 09:20:00;18.855;0
1975-05-19 09:30:00;18.876;0
1975-05-19 09:40:00;18.898;0
1975-05-19 09:50:00;18.916;0
1975-05-19 10:00:00;18.934;0
1975-05-19 10:10:00;18.946;0
1975-05-19 10:20:00;18.959;0
1975-05-19 10:30:00;18.971;0
1975-05-19 10:40:00;18.98;0
1975-05-19 11:40:00;19.032;0
1975-05-19 12:40:00;19.065;0
1975-05-19 13:40:00;19.096;0
1975-05-19 14:40:00;19.117;0
1975-05-19 15:40:00;19.138;0
1975-05-19 16:40:00;19.157;0
1975-05-19 17:40:00;19.175;0
1975-05-19 18:40:00;19.181;0
1975-05-19 19:40:00;19.193;0
1975-05-19 20:40:00;19.205;0
1975-05-19 22:00:00;19.221;0
1975-05-20 11:20:00;18.742;1
